Year,State,Incumbent,Rating,Value
2020,Delaware,John Carney (D),Solid D,1
2020,Indiana,Eric Holcomb (R),Solid R,1
2020,Missouri,Mike Parson (R),Solid R,1
2020,Montana,OPEN (Bullock)(D),Toss Up,1
2020,New Hampshire,Chris Sununu (R),Likely R,1
2020,North Carolina,Roy Cooper (D),Likely D,1
2020,North Dakota,Doug Burgum (R),Solid R,1
2020,Utah,OPEN (Herbert)(R),Solid R,1
2020,Vermont,Phil Scott (R),Likely R,1
2020,Washington,Jay Inslee (D),Solid D,1
2020,West Virginia,Jim Justice (R),Solid R,1